id,title,questionClass,pjMode,externalForPJ,systemInference,observa,define,decide,ejecuta,controla,recibe,custodia,administra,specificActors,note
P01,Función probatoria inicial,hecho_observable,RESUELVE_CON_HECHOS | PRESERVA_DOCUMENTA,No,No,PJ,PJ | FISCAL,,PJ,,,PJ,,,Identificación operativa inicial; no equivale a una conclusión pericial ni a una decisión judicial.
P02,Necesidad de conocimiento especializado,necesidad_investigativa,RESUELVE_CON_HECHOS | APORTA_HECHOS,No,No,PJ | FISCAL,PJ | FISCAL,FISCAL,PJ,,PERITO,PJ,,,
P02A,Definición técnico-científica del examen o tratamiento,decision_tecnica_externa,VERIFICA_DECISION_EXTERNA | COORDINA_REMITE,Sí,No,PJ | FISCAL | PERITO,PERITO,,PERITO,,PERITO,PERITO | CUSTODIO,,,El usuario verifica la existencia de una definición técnica; no sustituye al experto.
P03,Concurrencia probatoria y patrimonial,clasificacion_concurrente,RESUELVE_CON_HECHOS | APORTA_HECHOS,No,Sí,PJ,PJ | FISCAL,,PJ,,,PJ,,,
P04,Especialidad jurídica o técnica,seleccion_regimen,RESUELVE_CON_HECHOS,No,Sí,PJ,PJ | AUTORIDAD_ESPECIAL,,PJ,,AUTORIDAD_ESPECIAL,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,,
P05,Relación del bien con una posible causal de comiso,hechos_para_conclusion_juridica,APORTA_HECHOS,No,Sí,PJ,FISCAL,FISCAL | JUEZ,PJ,JUEZ,,PJ | CUSTODIO,ADMINISTRADOR,,PJ aporta la relación fáctica; la medida y sus efectos no se producen por la sola respuesta del usuario.
P05A,Barrera probatoria previa al comiso,estado_necesidad_probatoria,VERIFICA_DECISION_EXTERNA | APORTA_HECHOS,Sí,No,PJ | PERITO | FISCAL,FISCAL,FISCAL,PJ | PERITO,,,PJ | PERITO | CUSTODIO,,,
P05B,Habilitación para materializar la medida con fines de comiso,habilitacion_juridica,VERIFICA_DECISION_EXTERNA | EJECUTA,Sí,No,PJ | FISCAL,FISCAL,FISCAL,PJ,JUEZ,,PJ,,,
P05C,Control posterior de legalidad,control_judicial,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | FISCAL,JUEZ,JUEZ,FISCAL | PJ,JUEZ,,CUSTODIO | ADMINISTRADOR,ADMINISTRADOR,,
P06,Administración cautelar FEAB y definición final,estado_procesal,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | FISCAL | ADMINISTRADOR,FISCAL | JUEZ,JUEZ,ADMINISTRADOR,,,CUSTODIO,ADMINISTRADOR,FEAB,
P06A,Contenido de la decisión definitiva,decision_definitiva,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | FISCAL | ADMINISTRADOR,JUEZ,JUEZ,ADMINISTRADOR,,TITULAR | ADMINISTRADOR,CUSTODIO,ADMINISTRADOR,FEAB,
P07,Finalidad reparadora / restablecimiento patrimonial,existencia_medida_reparadora,VERIFICA_DECISION_EXTERNA | APORTA_HECHOS,Sí,No,PJ | FISCAL,FISCAL | JUEZ,FISCAL | JUEZ,PJ,JUEZ,,PJ | CUSTODIO,,,
P07A,Selector de mecanismo reparador,identificacion_medida,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | FISCAL,FISCAL | JUEZ,FISCAL | JUEZ,PJ,JUEZ,,CUSTODIO,,,
P07B,Custodia y administración del bien embargado y secuestrado,hecho_custodia_medida,RESUELVE_CON_HECHOS | CONTEXTO,Sí,No,PJ | CUSTODIO,JUEZ,JUEZ,CUSTODIO,JUEZ,CUSTODIO,CUSTODIO,ADMINISTRADOR,,
P07C,Bienes en delitos culposos,estado_medida_cautelar,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | FISCAL,JUEZ,JUEZ,PJ | CUSTODIO,JUEZ,CUSTODIO,CUSTODIO,,,
P08,Posible destrucción: existencia de fundamento,base_para_disposicion,RESUELVE_CON_HECHOS | APORTA_HECHOS,No,Sí,PJ | FISCAL | ADMINISTRADOR,FISCAL | AUTORIDAD_ESPECIAL,FISCAL | JUEZ | AUTORIDAD_ESPECIAL,PJ | AUTORIDAD_ESPECIAL,,,CUSTODIO,ADMINISTRADOR,,
P08A,Identificación del régimen de destrucción,seleccion_regimen,RESUELVE_CON_HECHOS,No,Sí,PJ | FISCAL | ADMINISTRADOR,AUTORIDAD_ESPECIAL,,PJ,,AUTORIDAD_ESPECIAL,CUSTODIO,ADMINISTRADOR,,
P09,Excepción residual FEAB - art. 13A parágrafo 3,estado_residual,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,Sí,PJ | FISCAL | ADMINISTRADOR,FISCAL | ADMINISTRADOR,FISCAL | JUEZ,ADMINISTRADOR,,ADMINISTRADOR,CUSTODIO,ADMINISTRADOR,FEAB,
P09A,Título jurídico residual y administración general FGN,titulo_juridico,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | FISCAL | ADMINISTRADOR,FISCAL | JUEZ | ADMINISTRADOR,FISCAL | JUEZ | AUTORIDAD_ESPECIAL,ADMINISTRADOR | CUSTODIO,,ADMINISTRADOR | CUSTODIO,CUSTODIO,ADMINISTRADOR,,
P10,"Devolución, restitución y entrega - identificación del fundamento",causa_entrega_devolucion,RESUELVE_CON_HECHOS | VERIFICA_DECISION_EXTERNA,Sí,Sí,PJ | FISCAL | CUSTODIO,FISCAL | JUEZ,FISCAL | JUEZ,PJ | CUSTODIO,,TITULAR,CUSTODIO,,,
P11,"Materialización de la devolución, restitución o entrega",estado_materializacion,RESUELVE_CON_HECHOS | EJECUTA,No,No,PJ | CUSTODIO | TITULAR,PJ | CUSTODIO,,PJ | CUSTODIO,,TITULAR,CUSTODIO,,,
P11A,Causa de no materialización / bienes no reclamados,impedimento_entrega,RESUELVE_CON_HECHOS | COORDINA_REMITE,No,Sí,PJ | CUSTODIO | TITULAR,PJ | FISCAL,FISCAL | JUEZ,PJ | CUSTODIO,,TITULAR | ADMINISTRADOR,CUSTODIO,ADMINISTRADOR,,
